symbol,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities json:,totalShareholderEquity,treasuryStocks,retainedEarnings,commonStock,commonStockSharesOutstanding
SNOW,2021-06-30,USD,5921739000,4300652000,820177000,820177000,None,None,1621087000,255786000,None,16091000,16091000,8449000,None,1165275000,3087887000,32371000,,985268000,789264000,None,None,None,None,196004000,204537000,None,None,None,None,638652000,6923000,4936471000,,None,4936471000,220238568
SNOW,2020-06-30,USD,1012720000,665194000,127206000,127206000,None,None,347526000,223112000,None,4795000,4795000,7049000,None,23532000,306844000,26358000,,1557477000,416455000,None,None,None,None,1141022000,211267000,None,None,None,None,335354000,8466000,-544757000,,-700319000,6000,278778162
SNOW,2019-06-30,USD,764288000,698952000,116541000,116541000,None,None,65336000,22756000,None,20000,20000,0,None,0,492257000,11607000,,1076755000,144905000,None,None,None,None,931850000,16660000,None,None,None,None,108109000,5470000,-312467000,,-351784000,5000,278778162
DDOG,2020-12-31,USD,1890285000,1718080000,224927000,1517459000,None,191295000,172205000,47197000,35521000,19678000,2069000,17609000,1292532000,None,1292532000,37262000,,932853000,297844000,21342000,208275000,None,None,635009000,67759000,1727592000,None,575864000,1727592000,221151000,4262000,957432000,,-148163000,3000,304391841
DDOG,2019-12-31,USD,1038041000,903942000,597297000,773971000,None,104972000,134099000,32749000,20738000,10493000,1435000,9058000,176674000,None,176674000,17962000,,255700000,200239000,15429000,138488000,11916000,None,55461000,60426000,None,11916000,None,None,142357000,2611000,782341000,,-123616000,3000,296386950
DDOG,2018-12-31,USD,179750000,121951000,53639000,53639000,None,None,57799000,21649000,9066000,1288000,1288000,7626000,None,None,None,7073000,,114986000,112234000,12638000,None,None,None,143557000,None,None,None,None,None,73349000,1359000,-76041000,,-106906000,None,78180606
ESTC,2020-04-30,USD,803911000,480239000,297081000,297081000,None,None,323672000,40543000,None,50455000,50455000,197877000,None,None,None,36771000,,390264000,321424000,None,None,None,None,68840000,35466000,None,None,None,None,235797000,12992000,413647000,,-484251000,856000,82856978
ESTC,2019-04-30,USD,485738000,429641000,298000000,298000000,None,None,56097000,5448000,None,6723000,6723000,19846000,None,None,1268000,37093000,,222726000,203580000,None,None,None,None,19146000,None,None,None,None,None,164623000,6723000,263012000,,-317077000,754000,73675083
ESTC,2018-04-30,USD,183013000,132228000,50941000,50941000,None,None,50785000,4536000,None,8297000,8297000,19182000,None,None,0,19638000,,336542000,125112000,None,None,None,None,211430000,None,83000,None,None,None,100364000,3877000,-153529000,,-214774000,33000,69492729
ESTC,2017-04-30,USD,144347000,120571000,59640000,59640000,None,None,23776000,4580000,None,2721000,2721000,12057000,None,None,15000000,10362000,,272885000,63672000,None,None,None,None,209213000,None,None,None,None,None,53158000,3534000,-128538000,,-162047000,31000,69492729
