symbol,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities json:,totalShareholderEquity,treasuryStocks,retainedEarnings,commonStock,commonStockSharesOutstanding
SNOW,2020-12-31,USD,5921739000,4300652000,820177000,820177000,None,None,1621087000,255786000,None,16091000,16091000,8449000,None,1165275000,3087887000,32371000,,985268000,789264000,None,None,None,None,196004000,204537000,None,None,None,None,638652000,6923000,4936471000,,None,4936471000,283100000
SNOW,2020-09-30,USD,5712889000,4986771000,3939925000,3939925000,None,None,726118000,242905000,None,14820000,14820000,8449000,None,347403000,814123000,28063000,,745074000,547659000,None,None,None,None,197415000,206051000,None,None,None,None,454475000,7220000,4967815000,,-1040486000,28000,283119545
SNOW,2020-06-30,USD,1437241000,793448000,138900000,138900000,None,None,643793000,229817000,None,15695000,15695000,8449000,None,295944000,451976000,26279000,,673593000,477659000,None,None,None,None,195934000,201459000,None,None,None,None,393521000,8544000,763648000,,-871597000,6000,278778162
SNOW,2020-03-31,USD,None,966553000,None,None,None,None,None,222542000,None,None,None,None,None,None,None,26086000,,None,406315000,None,None,None,None,None,None,None,None,None,None,335375000,None,None,,-793963000,6000,None
SNOW,2019-12-31,USD,1012720000,665194000,127206000,127206000,None,None,347526000,None,None,4795000,4795000,7049000,None,23532000,306844000,None,,1557477000,416455000,None,None,None,None,1141022000,211267000,None,None,None,None,5514000,8466000,-544757000,,-700319000,None,278778162
DDOG,2020-12-31,USD,1890285000,1718080000,224927000,1517459000,None,191295000,172205000,47197000,35521000,19678000,2069000,17609000,1292532000,None,1292532000,37262000,,932853000,297844000,21342000,208275000,None,None,635009000,67759000,1727592000,None,575864000,1727592000,221151000,4262000,957432000,,-148163000,3000,304391841
DDOG,2020-09-30,USD,1814284000,1652975000,198523000,1494784000,None,138192000,161309000,42059000,31607000,19538000,2327000,17211000,1296261000,None,1296261000,11544000,,878096000,254650000,21199000,166454000,None,None,623446000,64733000,1703049000,None,567683000,1703049000,164010000,3644000,936188000,,-132003000,3000,304391841
DDOG,2020-06-30,USD,1783706000,1626072000,206202000,1465799000,None,140078000,157634000,37164000,27752000,19446000,2586000,16860000,1259597000,None,1259597000,10934000,,870835000,241408000,18010000,165275000,None,None,629427000,67405000,1678863000,None,559621000,1678863000,162858000,3305000,912871000,,-116853000,3000,302254533
DDOG,2020-03-31,USD,1066656000,933065000,194350000,794734000,None,124837000,133591000,34084000,24159000,10067000,1176000,8891000,600384000,None,600384000,9740000,,263761000,210638000,14205000,145182000,13436000,None,53123000,59478000,None,13436000,None,None,141242000,3141000,802895000,,-117137000,3000,298734720
DDOG,2019-12-31,USD,1038041000,903942000,597297000,773971000,None,104972000,134099000,32749000,20738000,10493000,1435000,9058000,176674000,None,176674000,17962000,,255700000,200239000,15429000,138488000,11916000,None,55461000,60426000,None,11916000,None,None,134890000,2611000,782341000,,-123616000,3000,296386950
DDOG,2019-09-30,USD,1006753000,872476000,760945000,760945000,None,90953000,134277000,31266000,17254000,8385000,759000,7626000,None,None,None,17103000,,235518000,176661000,18992000,121793000,10222000,None,58857000,61906000,None,10222000,None,None,2168000,2346000,771235000,,-124507000,3000,104000000
ESTC,2021-01-31,USD,899980000,574040000,393134000,393134000,None,None,3970000,8665000,None,39823000,39823000,198665000,None,None,None,60857000,,444399000,371421000,None,None,None,None,72978000,31945000,None,None,None,None,297865000,72978000,455581000,,-570017000,937000,89644940
ESTC,2020-10-31,USD,867561000,544126000,348986000,348986000,None,None,3685000,8004000,None,43362000,43362000,198196000,None,None,None,62617000,,424904000,348132000,None,None,None,None,76772000,32895000,None,None,None,None,270120000,76772000,442657000,,-532043000,908000,87204991
ESTC,2020-07-31,USD,821342000,497929000,350418000,350418000,None,None,323413000,39454000,None,46903000,46903000,198413000,None,None,None,43023000,,388963000,317397000,None,None,None,None,71566000,34236000,None,None,None,None,241489000,4798000,432379000,,-502885000,890000,85737645
ESTC,2020-04-30,USD,803911000,480239000,297081000,297081000,None,None,323672000,40543000,None,50455000,50455000,197877000,None,None,None,36771000,,390264000,321424000,None,None,None,None,68840000,35466000,None,None,None,None,235797000,12992000,413647000,,-484251000,856000,82856978
ESTC,2020-01-31,USD,741849000,418506000,294076000,294076000,None,None,323343000,41772000,None,54005000,54005000,198774000,None,None,1760000,36517000,,323407000,260556000,None,None,None,None,62851000,36326000,None,None,None,None,194754000,13231000,418442000,,-453100000,842000,81574811
ESTC,2019-10-31,USD,766789000,433105000,305246000,305246000,None,None,333684000,48179000,None,58463000,58463000,198797000,None,None,1335000,6209000,,333633000,264749000,None,None,None,None,68884000,41870000,None,None,None,None,8730000,13572000,433156000,,-408819000,829000,78000000
