symbol,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
SNOW,2021-06-30,USD,-45417000,None,None,None,9826000,48704000,None,None,None,-4036645000,4775290000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-539102000
SNOW,2020-06-30,USD,-176558000,None,None,None,3522000,22848000,None,None,None,138495000,57469000,None,None,None,None,None,None,None,None,None,None,0,None,None,None,-348535000
SNOW,2019-06-30,USD,-143982000,None,None,None,1362000,4016000,None,None,None,-362642000,413601000,None,None,None,None,None,None,None,None,None,None,-29644000,None,None,None,-178028000
DDOG,2020-12-31,USD,109091000,15484000,None,76327000,14500000,5415000,64248000,None,-24547000,-1152624000,670276000,None,None,None,None,None,None,None,None,None,None,30734000,None,-1511671000,None,-24547000
DDOG,2019-12-31,USD,24234000,9910000,None,70274000,11600000,13315000,47510000,None,-16710000,-202220000,714216000,None,None,None,None,None,None,None,None,None,None,714216000,None,1038316000,None,-16710000
DDOG,2018-12-31,USD,10829000,None,None,None,5500000,9662000,None,None,-10762000,-17456000,7782000,None,None,None,None,None,None,None,None,None,None,7782000,None,None,None,-10762000
DDOG,2017-12-31,USD,13832000,None,None,None,2200000,2351000,None,None,-2570000,-12760000,462000,None,None,None,None,None,None,None,None,None,None,462000,None,None,None,-2570000
ESTC,2020-04-30,USD,-30564000,None,None,None,12859000,5063000,-46753000,None,None,-29187000,58539000,None,None,None,None,None,None,None,None,None,None,61463000,None,-1212000,None,-167174000
ESTC,2019-04-30,USD,-23937000,None,None,None,5695000,3447000,-29804000,None,None,-8283000,281788000,None,None,None,None,None,None,None,None,None,None,282394000,None,249568000,None,-102303000
ESTC,2018-04-30,USD,-20819000,None,None,None,5066000,2968000,None,None,None,8330000,3427000,None,None,None,None,None,None,None,None,None,None,-344000,None,None,None,-52727000
ESTC,2017-04-30,USD,-16107000,None,None,None,3150000,843000,None,None,None,-20331000,59761000,None,None,None,None,None,None,None,None,None,None,-25000,None,None,None,-51968000
ZM,2020-01-31,USD,151892000,9774000,None,104256000,16449000,38084000,64715000,None,51667000,-499468000,615690000,None,None,None,None,None,None,None,542492000,None,None,567143000,None,330584000,None,25305000
TWLO,2020-12-31,USD,32654000,47774000,None,111398000,149660000,25805000,81303000,None,-490979000,-845855000,1493311000,None,None,None,None,None,None,None,None,None,None,1512873000,None,1277792000,None,-490979000
