symbol,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
SNOW,2020-12-31,USD,19614000,None,None,None,3215000,14488000,None,None,None,-3161607000,22278000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-198935000
SNOW,2020-09-30,USD,-19754000,None,None,None,2849000,18114000,None,None,None,-433635000,4254420000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-168889000
SNOW,2020-06-30,USD,-38685000,None,None,None,None,0,None,None,None,-269399000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
SNOW,2020-03-31,USD,-6592000,None,None,None,None,0,None,None,None,-172004000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
SNOW,2019-12-31,USD,-42792000,None,None,None,1265000,5404000,None,None,None,None,6658000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-83254000
SNOW,2019-09-30,USD,-23750000,None,None,None,None,0,None,None,None,19194000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
SNOW,2012-06-30,USD,43390000,None,None,None,None,30061000,None,4925000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
DDOG,2020-12-31,USD,23828000,4676000,None,41957000,3800000,1079000,42995000,None,-16160000,-8691000,11058000,None,None,None,None,None,None,None,None,None,None,11121000,None,23886000,None,-16160000
DDOG,2020-09-30,USD,36270000,4356000,None,4891000,3700000,1412000,-2431000,None,-15150000,-48833000,4527000,None,None,None,None,None,None,None,None,None,None,4698000,None,-56224000,None,-15150000
DDOG,2020-06-30,USD,24738000,3284000,None,23986000,3500000,1398000,16568000,None,284000,-665295000,652031000,None,None,None,None,None,None,None,None,None,None,12102000,None,4610000,None,284000
DDOG,2020-03-31,USD,24255000,3168000,None,5493000,3500000,1526000,7116000,None,6479000,-429805000,2660000,None,None,None,None,None,None,None,None,None,None,2813000,None,-833203000,None,6479000
DDOG,2019-12-31,USD,17430000,3736000,None,14965000,3300000,3502000,15286000,None,891000,-185349000,-1749000,None,None,None,None,None,None,None,None,None,None,-1749000,None,-360502000,None,891000
DDOG,2019-09-30,USD,3824000,None,None,None,3800000,4834000,None,None,-4161000,-7484000,710924000,None,None,None,None,None,None,None,None,None,None,715965000,None,None,None,-4161000
DDOG,2019-06-30,USD,-438000,None,None,None,2500000,2782000,None,None,-3949000,-5094000,3265000,None,None,None,None,None,None,None,None,None,None,5197000,None,None,None,-3949000
DDOG,2019-03-31,USD,3418000,None,None,None,1900000,2197000,None,None,-9491000,-4293000,1776000,None,None,None,None,None,None,None,None,None,None,1776000,None,None,None,-9491000
DDOG,2018-12-31,USD,-4555000,None,None,None,1600000,1457000,None,None,-6587000,-3093000,949000,None,None,None,None,None,None,None,None,None,None,7782000,None,None,None,-6587000
ESTC,2021-01-31,USD,19401000,None,None,None,4290000,1076000,15183000,None,None,-1076000,22324000,None,None,None,None,None,None,None,None,None,None,22324000,None,40649000,None,-37974000
ESTC,2020-10-31,USD,-17289000,None,None,None,4310000,1277000,-45148000,None,None,43000,15978000,None,None,None,None,None,None,None,None,None,None,15978000,None,-1268000,None,-29158000
ESTC,2020-07-31,USD,21998000,None,None,None,4256000,379000,45211000,None,None,-379000,29252000,None,None,None,None,None,None,None,None,None,None,29252000,None,50871000,None,-19001000
ESTC,2020-04-30,USD,-5933000,None,None,None,4286000,826000,-57626000,None,None,-577000,10841000,None,None,None,None,None,None,None,None,None,None,10841000,None,4331000,None,-31151000
ESTC,2020-01-31,USD,-23227000,None,None,None,5235000,1007000,6023000,None,None,-1007000,11024000,None,None,None,None,None,None,None,None,None,None,11054000,None,-13210000,None,-44281000
ESTC,2019-10-31,USD,290000,None,None,None,2050000,1645000,-18678000,None,None,-26018000,16591000,None,None,None,None,None,None,None,None,None,None,19455000,None,-9137000,None,-49973000
