symbol,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
SNOW,2020-12-31,,-0.4367,,,
DDOG,2020-12-31,,0.22,,,
DDOG,2019-12-31,,0.04,,,
ESTC,2021-01-31,,-0.01,,,
ESTC,2020-04-30,,-0.94,,,
ESTC,2019-04-30,,-1.18,,,
ZM,2021-01-31,,3.33,,,
ZM,2020-01-31,,0.35,,,
TWLO,2020-12-31,,0.23,,,
TWLO,2019-12-31,,0.15,,,
TWLO,2018-12-31,,0.1,,,
TWLO,2017-12-31,,-0.2,,,
TWLO,2016-12-31,,-0.2664,,,
OKTA,2021-01-31,,0.1,,,
OKTA,2020-01-31,,-0.32,,,
OKTA,2019-01-31,,-0.32,,,
OKTA,2018-01-31,,-0.95,,,
ZS,2021-01-31,,0.24,,,
ZS,2020-07-31,,0.24,,,
ZS,2019-07-31,,0.22,,,
ZS,2018-07-31,,-0.1063,,,
NET,2020-12-31,,-0.11,,,
NET,2019-12-31,,-0.22,,,
