symbol,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costOfGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
SNOW,2021-06-30,USD,349461000,592049000,242588000,242588000,-543937000,655452000,237946000,1135986000,None,7507000,7507000,None,None,None,None,None,-537040000,2062000,None,-539102000,None,-534111000,None,-539102000
SNOW,2020-06-30,USD,148191000,264748000,116557000,116557000,-358088000,401119000,105160000,622836000,None,11551000,11551000,None,None,None,None,None,-347542000,993000,None,-348535000,None,-354566000,None,-348535000
SNOW,2019-06-30,USD,44913000,96666000,51753000,51753000,-185465000,161697000,68681000,282131000,None,8759000,8759000,None,None,None,None,None,-177208000,820000,None,-178028000,None,-184103000,None,-178028000
DDOG,2020-12-31,USD,473269000,574022000,130197000,130197000,-13773000,276416000,210626000,487042000,None,-30434000,-60868000,30434000,603456000,-8449000,None,15450000,-26872000,2325000,30434000,-24547000,-22393000,-13773000,-29223000,-24547000
DDOG,2019-12-31,USD,273831000,357672000,88949000,88949000,-20140000,182546000,111425000,293971000,None,-5400000,-10800000,5400000,-708000,4164000,None,12370000,-17444000,734000,5400000,-16710000,-16608000,-20140000,-32510000,-16710000
ESTC,2020-04-30,USD,304930000,427620000,122690000,122690000,-171105000,310665000,165370000,598725000,None,None,None,None,None,1963000,None,None,-169142000,-1968000,None,-167174000,None,-158246000,None,-167174000
ESTC,2019-04-30,USD,193643000,271653000,78010000,78010000,-101356000,193832000,101167000,373009000,None,None,None,None,None,3441000,None,None,-97915000,4388000,None,-102303000,None,-95661000,None,-102303000
ESTC,2018-04-30,USD,119195000,159935000,40740000,40740000,-47994000,111548000,55641000,207929000,None,None,None,-57000,None,None,None,None,-49351000,3376000,None,-52727000,None,-42928000,None,-52727000
ESTC,2017-04-30,USD,68332000,88177000,19845000,19845000,-47172000,82903000,32601000,135349000,None,None,None,-57000,None,None,None,None,-47755000,4213000,None,-51968000,None,-44022000,None,-51968000
ZM,2020-01-31,USD,507262000,622658000,115396000,115396000,12696000,427487000,67079000,494566000,None,13666000,13666000,None,None,None,None,None,24248000,1057000,None,25305000,26249000,12696000,None,25305000
TWLO,2020-12-31,USD,915661000,1700516000,-846115000,846115000,-492901000,-878014000,-530548000,-1408562000,32400000,-48397000,None,-48397000,1748913000,-11525000,-51100000,-107638000,-504426000,13447000,-61260000,-490979000,-487019000,-492901000,-385263000,-490979000
TWLO,2019-12-31,USD,608917000,1086368000,-525551000,525551000,-369785000,-587347000,-391355000,-978702000,20800000,-48100000,None,-48100000,1134468000,7569000,-37500000,-78997000,-362216000,55153000,-48100000,-307063000,-303259000,-369785000,-290788000,-307063000
TWLO,2018-12-31,USD,349226000,621961000,-300841000,300841000,-115235000,-293103000,-171358000,-464461000,3000000,-28106000,None,-28106000,650067000,-5923000,-18900000,-7242000,-121158000,-791000,-28106000,-121949000,-122692000,-115235000,-107993000,-121949000
TWLO,2017-12-31,USD,216125000,399020000,-182895000,182895000,-66074000,-161460000,-120739000,-282199000,2600000,None,None,-14905000,None,3071000,-13100000,-5675000,-63003000,-705000,None,-63708000,-61683000,-66074000,-60399000,-63708000
TWLO,2016-12-31,USD,156815000,277335000,-120520000,120520000,-41315000,-116344000,-77926000,-198130000,None,None,None,-14905000,None,317000,-7400000,-900000,-40998000,-326000,None,-41324000,-82322000,-41315000,-40415000,-41324000
OKTA,2021-01-31,USD,617743000,760501000,217681000,217681000,-204159000,599076000,222826000,821902000,None,-72660000,-145320000,72660000,833161000,12891000,9400000,50761000,-266473000,141000,74923000,-266332000,-261834000,-204159000,-254920000,-266332000
OKTA,2020-01-31,USD,426685000,547678000,159382000,159382000,-185832000,453248000,159269000,612517000,None,-27017000,-54034000,27017000,-14572000,17089000,8800000,39188000,-207494000,-1419000,41589000,-208913000,-207702000,-185832000,-225020000,-208913000
OKTA,2019-01-31,USD,285833000,384182000,113421000,113421000,-119622000,303070000,102385000,405455000,None,-15072000,-30144000,15072000,None,9180000,5700000,26652000,-125480000,-17000,15072000,-125497000,-126207000,-119622000,-146274000,-125497000
OKTA,2018-01-31,USD,179235000,260000000,80755000,80755000,-116362000,224776000,70821000,295597000,None,None,None,-15072000,None,1682000,4000000,20484000,-114079000,-321000,None,-114359000,-113801000,-116362000,-136846000,-114400000
ZS,2020-07-31,USD,335536000,426070000,95733000,95733000,-113956000,351613000,97879000,449492000,6477000,-5025000,-10050000,5025000,430969000,-224000,None,3384000,-117504000,2388000,5025000,-115116000,-114921000,-113956000,-117340000,-115116000
ZS,2019-07-31,USD,243167000,310266000,59669000,13800000,-35313000,216511000,61969000,278480000,7730000,7730000,7430000,-7730000,-300000,-329000,None,908000,-29398000,743000,None,-28655000,-28263000,-35313000,-36221000,-28655000
ZS,2018-07-31,USD,152299000,192310000,37875000,37875000,-34624000,147544000,39379000,186923000,2236000,2236000,2136000,-6332000,-100000,79000,None,None,-34983000,1337000,None,-33646000,-33770000,-34624000,None,-33646000
ZS,2017-07-31,USD,98245000,70773000,27472000,27472000,-35073000,99757000,33561000,133318000,None,597000,-100000,-9570000,None,None,None,None,-36337000,877000,None,-35460000,-35460000,-35073000,None,-35460000
NET,2020-12-31,USD,330004000,408024000,101055000,101055000,-106768000,309628000,127144000,436772000,None,-24964000,-49928000,24964000,430159000,171000,45900000,3100000,-113767000,-5603000,24336000,-119370000,-119268000,-106768000,-109868000,-119370000
NET,2019-12-31,USD,223599000,285710000,63423000,63423000,-107946000,240876000,90669000,331545000,None,-1112000,-2224000,1112000,-200000,-1442000,29400000,100000,-106943000,1115000,1112000,-105828000,-105710000,-107946000,-108046000,-105828000
NET,2018-12-31,USD,149137000,105600000,43537000,43537000,-84899000,179573000,54463000,234036000,None,903000,903000,992000,None,-2091000,18400000,None,-88241000,1077000,None,-87164000,-87115000,-84899000,None,-87164000
NET,2017-12-31,USD,106127000,77339000,28788000,28788000,-9730000,82207000,33650000,115857000,None,-100000,-100000,862000,None,115000,11700000,None,-11781000,1033000,None,-10748000,-10765000,-9730000,None,-10748000
