symbol,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costOfGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
SNOW,2020-12-31,USD,107561000,190465000,82904000,82904000,-200397000,213961000,93997000,390862000,None,1853000,1853000,None,None,None,None,None,-197593000,1342000,None,-198935000,None,-197182000,None,-198935000
SNOW,2020-09-30,USD,92943000,159624000,66681000,66681000,-169454000,188259000,74138000,329078000,None,1517000,1517000,None,None,None,None,None,-168456000,433000,None,-168889000,None,-166605000,None,-168889000
SNOW,2020-06-30,USD,37047750,66187000,29139250,29139250,None,100279750,None,None,None,None,None,None,None,None,None,None,None,531000,None,None,None,-88641500,None,None
SNOW,2020-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-244000,None,None,None,None,None,None
SNOW,2019-12-31,USD,53170000,87692000,34522000,34522000,-85112000,108573000,29709000,172804000,None,2299000,2299000,None,None,None,None,None,-82999000,None,None,-83254000,None,-83847000,None,-83254000
SNOW,2019-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,376000,None,None,None,None,None,None
DDOG,2020-12-31,USD,136674000,165515000,40857000,40857000,-8938000,77914000,67698000,145612000,None,-13010000,-26020000,13010000,177525000,-6229000,None,4083000,-17153000,993000,13010000,-16160000,-16518000,-8938000,-13021000,-16160000
DDOG,2020-09-30,USD,120691000,142256000,33983000,33984000,-9267000,73519000,56440000,129958000,None,-12423000,-24846000,12423000,154679000,-5288000,None,3972000,-15745000,595000,12423000,-15150000,-14570000,-9267000,-13239000,-15150000
DDOG,2020-06-30,USD,111134000,135718000,28878000,28878000,654000,64816000,45664000,110480000,None,-4294000,-8588000,4294000,140012000,172000,None,3707000,-258000,542000,4294000,284000,3411000,654000,-3053000,284000
DDOG,2020-03-31,USD,104769000,129061000,26479000,26479000,3778000,60167000,40824000,100991000,None,-2185000,-4370000,2185000,-2000,2896000,None,3688000,6284000,195000,2185000,6479000,5284000,3778000,90000,6479000
